objectid,title,narrator,interviewer,date,year,location,time-period-covered,length-of-interview,subject,subject-1,subject-2,subject-3,type,format,format-free,transcript-available,biography-available,release-form-available,catalog-number-if-applicable,institution,address,phone,email,website,notes
wyomingoralhistory020,Tim Beppler Oral History Interview (2005),Tim Beppler,Barbara Bogart,2005,2005,"Evanston, WY",,,Wyoming economy;Boom and bust cycle;Energy industry,Wyoming economy,Boom and bust cycle,Energy industry,audio-cassette,audio,Audio-cassette,,,,2005.001.019,Uinta County Museum,"1020 Front St., Evanston, WY 82930",(307) 789-8248,museum@nglconnection.net,http://www.uintacounty.com/28/Uinta-County-Museum,"""Boom and Bust in the Overthrust"" Project"
wyomingoralhistory021,Dennis Otley Oral History Interview (2005),Dennis Otley,Barbara Bogart,2005,2005,"Evanston, WY",,,Wyoming economy;Boom and bust cycle;Energy industry,Wyoming economy,Boom and bust cycle,Energy industry,audio-cassette,audio,Audio-cassette,,,,2005.001.020,Uinta County Museum,"1020 Front St., Evanston, WY 82930",(307) 789-8248,museum@nglconnection.net,http://www.uintacounty.com/28/Uinta-County-Museum,"""Boom and Bust in the Overthrust"" Project"
wyomingoralhistory022,Mary Lou Norris Oral History Interview (2005),Mary Lou Norris,Barbara Bogart,2005,2005,"Evanston, WY",,,Wyoming economy;Boom and bust cycle;Energy industry,Wyoming economy,Boom and bust cycle,Energy industry,audio-cassette,audio,Audio-cassette,,,,2005.001.021,Uinta County Museum,"1020 Front St., Evanston, WY 82930",(307) 789-8248,museum@nglconnection.net,http://www.uintacounty.com/28/Uinta-County-Museum,"""Boom and Bust in the Overthrust"" Project"
wyomingoralhistory023,Mike Pexton Oral History Interview (2005),Mike Pexton,Barbara Bogart,2005,2005,"Evanston, WY",,,Wyoming economy;Boom and bust cycle;Energy industry,Wyoming economy,Boom and bust cycle,Energy industry,audio-cassette,audio,Audio-cassette,,,,2005.001.022,Uinta County Museum,"1020 Front St., Evanston, WY 82930",(307) 789-8248,museum@nglconnection.net,http://www.uintacounty.com/28/Uinta-County-Museum,"""Boom and Bust in the Overthrust"" Project"
wyomingoralhistory024,Dennis Poppinga Oral History Interview (2005),Dennis Poppinga,Barbara Bogart,2005,2005,"Evanston, WY",,,Wyoming economy;Boom and bust cycle;Energy industry,Wyoming economy,Boom and bust cycle,Energy industry,audio-cassette,audio,Audio-cassette,,,,2005.001.023,Uinta County Museum,"1020 Front St., Evanston, WY 82930",(307) 789-8248,museum@nglconnection.net,http://www.uintacounty.com/28/Uinta-County-Museum,"""Boom and Bust in the Overthrust"" Project"
wyomingoralhistory025,Gene Martin Oral History Interview (2005),Gene Martin,Barbara Bogart,2005,2005,"Evanston, WY",,,Wyoming economy;Boom and bust cycle;Energy industry,Wyoming economy,Boom and bust cycle,Energy industry,audio-cassette,audio,Audio-cassette,,,,2005.001.024,Uinta County Museum,"1020 Front St., Evanston, WY 82930",(307) 789-8248,museum@nglconnection.net,http://www.uintacounty.com/28/Uinta-County-Museum,"""Boom and Bust in the Overthrust"" Project"
wyomingoralhistory026,Joyce Holmes Oral History Interview (2005),Joyce Holmes,Barbara Bogart,2005,2005,"Evanston, WY",,,Wyoming economy;Boom and bust cycle;Energy industry,Wyoming economy,Boom and bust cycle,Energy industry,audio-cassette,audio,Audio-cassette,,,,2005.001.025,Uinta County Museum,"1020 Front St., Evanston, WY 82930",(307) 789-8248,museum@nglconnection.net,http://www.uintacounty.com/28/Uinta-County-Museum,"""Boom and Bust in the Overthrust"" Project"
wyomingoralhistory027,Georgia Harvey; Elaine Michaelis; Belle Lewis Oral History Interview (2005),Georgia Harvey; Elaine Michaelis; Belle Lewis,Barbara Bogart,2005,2005,"Evanston, WY",,,Wyoming economy;Boom and bust cycle;Energy industry,Wyoming economy,Boom and bust cycle,Energy industry,audio-cassette,audio,Audio-cassette,,,,2005.001.026,Uinta County Museum,"1020 Front St., Evanston, WY 82930",(307) 789-8248,museum@nglconnection.net,http://www.uintacounty.com/28/Uinta-County-Museum,"""Boom and Bust in the Overthrust"" Project"
wyomingoralhistory028,Vicki Poppinga Oral History Interview (2005),Vicki Poppinga,Barbara Bogart,2005,2005,"Evanston, WY",,,Wyoming economy;Boom and bust cycle;Energy industry,Wyoming economy,Boom and bust cycle,Energy industry,audio-cassette,audio,Audio-cassette,,,,2005.001.027,Uinta County Museum,"1020 Front St., Evanston, WY 82930",(307) 789-8248,museum@nglconnection.net,http://www.uintacounty.com/28/Uinta-County-Museum,"""Boom and Bust in the Overthrust"" Project"
wyomingoralhistory029,Roger Cazin Oral History Interview (2005),Roger Cazin,Barbara Bogart,2005,2005,"Evanston, WY",,,Wyoming economy;Boom and bust cycle;Energy industry,Wyoming economy,Boom and bust cycle,Energy industry,audio-cassette,audio,Audio-cassette,,,,2005.001.028,Uinta County Museum,"1020 Front St., Evanston, WY 82930",(307) 789-8248,museum@nglconnection.net,http://www.uintacounty.com/28/Uinta-County-Museum,"""Boom and Bust in the Overthrust"" Project"
wyomingoralhistory030,Pat Alexander Oral History Interview (2005),Pat Alexander,Barbara Bogart,2005,2005,"Evanston, WY",,,Wyoming economy;Boom and bust cycle;Energy industry,Wyoming economy,Boom and bust cycle,Energy industry,audio-cassette,audio,Audio-cassette,,,,2005.001.029,Uinta County Museum,"1020 Front St., Evanston, WY 82930",(307) 789-8248,museum@nglconnection.net,http://www.uintacounty.com/28/Uinta-County-Museum,"""Boom and Bust in the Overthrust"" Project"
wyomingoralhistory031,Dan Norris Oral History Interview (2005),Dan Norris,Barbara Bogart,2005,2005,"Evanston, WY",,,Wyoming economy;Boom and bust cycle;Energy industry,Wyoming economy,Boom and bust cycle,Energy industry,audio-cassette,audio,Audio-cassette,,,,2005.001.030,Uinta County Museum,"1020 Front St., Evanston, WY 82930",(307) 789-8248,museum@nglconnection.net,http://www.uintacounty.com/28/Uinta-County-Museum,"""Boom and Bust in the Overthrust"" Project"
wyomingoralhistory032,Steve Rounds Oral History Interview (2005),Steve Rounds,Barbara Bogart,2005,2005,"Evanston, WY",,,Wyoming economy;Boom and bust cycle;Energy industry,Wyoming economy,Boom and bust cycle,Energy industry,audio-cassette,audio,Audio-cassette,,,,2005.001.031,Uinta County Museum,"1020 Front St., Evanston, WY 82930",(307) 789-8248,museum@nglconnection.net,http://www.uintacounty.com/28/Uinta-County-Museum,"""Boom and Bust in the Overthrust"" Project"
wyomingoralhistory033,Sue Vehar Oral History Interview (2005),Sue Vehar,Barbara Bogart,2005,2005,"Evanston, WY",,,Wyoming economy;Boom and bust cycle;Energy industry,Wyoming economy,Boom and bust cycle,Energy industry,audio-cassette,audio,Audio-cassette,,,,2005.001.032,Uinta County Museum,"1020 Front St., Evanston, WY 82930",(307) 789-8248,museum@nglconnection.net,http://www.uintacounty.com/28/Uinta-County-Museum,"""Boom and Bust in the Overthrust"" Project"
wyomingoralhistory034,Julie Lehman Oral History Interview (2005),Julie Lehman,Barbara Bogart,2005,2005,"Evanston, WY",,,Wyoming economy;Boom and bust cycle;Energy industry,Wyoming economy,Boom and bust cycle,Energy industry,audio-cassette,audio,Audio-cassette,,,,2005.001.033,Uinta County Museum,"1020 Front St., Evanston, WY 82930",(307) 789-8248,museum@nglconnection.net,http://www.uintacounty.com/28/Uinta-County-Museum,"""Boom and Bust in the Overthrust"" Project"
wyomingoralhistory035,Jerrilyn Wall Oral History Interview (2005),Jerrilyn Wall,Barbara Bogart,2005,2005,"Evanston, WY",,,Wyoming economy;Boom and bust cycle;Energy industry,Wyoming economy,Boom and bust cycle,Energy industry,audio-cassette,audio,Audio-cassette,,,,2005.001.034,Uinta County Museum,"1020 Front St., Evanston, WY 82930",(307) 789-8248,museum@nglconnection.net,http://www.uintacounty.com/28/Uinta-County-Museum,"""Boom and Bust in the Overthrust"" Project"
wyomingoralhistory036,John and Bev Coles Oral History Interview (2005),John and Bev Coles,Barbara Bogart,2005,2005,"Evanston, WY",,,Wyoming economy;Boom and bust cycle;Energy industry,Wyoming economy,Boom and bust cycle,Energy industry,audio-cassette,audio,Audio-cassette,,,,2005.001.035,Uinta County Museum,"1020 Front St., Evanston, WY 82930",(307) 789-8248,museum@nglconnection.net,http://www.uintacounty.com/28/Uinta-County-Museum,"""Boom and Bust in the Overthrust"" Project"
wyomingoralhistory037,George and Mary Schwitzer Oral History Interview (2005),George and Mary Schwitzer,Barbara Bogart,2005,2005,"Evanston, WY",,,Wyoming economy;Boom and bust cycle;Energy industry,Wyoming economy,Boom and bust cycle,Energy industry,audio-cassette,audio,Audio-cassette,,,,2005.001.036,Uinta County Museum,"1020 Front St., Evanston, WY 82930",(307) 789-8248,museum@nglconnection.net,http://www.uintacounty.com/28/Uinta-County-Museum,"""Boom and Bust in the Overthrust"" Project"
wyomingoralhistory038,Athena Dallas Oral History Interview (2005),Athena Dallas,Barbara Bogart,2005,2005,"Evanston, WY",,,Wyoming economy;Boom and bust cycle;Energy industry,Wyoming economy,Boom and bust cycle,Energy industry,audio-cassette,audio,Audio-cassette,,,,2005.001.037,Uinta County Museum,"1020 Front St., Evanston, WY 82930",(307) 789-8248,museum@nglconnection.net,http://www.uintacounty.com/28/Uinta-County-Museum,"""Boom and Bust in the Overthrust"" Project"
wyomingoralhistory039,Norman and Jean Stephen Oral History Interview (2005),Norman and Jean Stephen,Barbara Bogart,2005,2005,"Evanston, WY",,,Wyoming economy;Boom and bust cycle;Energy industry,Wyoming economy,Boom and bust cycle,Energy industry,audio-cassette,audio,Audio-cassette,,,,2005.001.038,Uinta County Museum,"1020 Front St., Evanston, WY 82930",(307) 789-8248,museum@nglconnection.net,http://www.uintacounty.com/28/Uinta-County-Museum,"""Boom and Bust in the Overthrust"" Project"
wyomingoralhistory040,Joy Bond Oral History Interview (2005),Joy Bond,Barbara Bogart,2005,2005,"Evanston, WY",,,Wyoming economy;Boom and bust cycle;Energy industry,Wyoming economy,Boom and bust cycle,Energy industry,audio-cassette,audio,Audio-cassette,,,,2005.001.039,Uinta County Museum,"1020 Front St., Evanston, WY 82930",(307) 789-8248,museum@nglconnection.net,http://www.uintacounty.com/28/Uinta-County-Museum,"""Boom and Bust in the Overthrust"" Project"
wyomingoralhistory041,Craig Nelson Oral History Interview (2005),Craig Nelson,Barbara Bogart,2005,2005,"Evanston, WY",,,Wyoming economy;Boom and bust cycle;Energy industry,Wyoming economy,Boom and bust cycle,Energy industry,audio-cassette,audio,Audio-cassette,,,,2005.001.040,Uinta County Museum,"1020 Front St., Evanston, WY 82930",(307) 789-8248,museum@nglconnection.net,http://www.uintacounty.com/28/Uinta-County-Museum,"""Boom and Bust in the Overthrust"" Project"
wyomingoralhistory042,Nadine Crompton Oral History Interview (2005),Nadine Crompton,Barbara Bogart,2005,2005,"Evanston, WY",,,Wyoming economy;Boom and bust cycle;Energy industry,Wyoming economy,Boom and bust cycle,Energy industry,audio-cassette,audio,Audio-cassette,,,,2005.001.041,Uinta County Museum,"1020 Front St., Evanston, WY 82930",(307) 789-8248,museum@nglconnection.net,http://www.uintacounty.com/28/Uinta-County-Museum,"""Boom and Bust in the Overthrust"" Project"
wyomingoralhistory043,Bill Alexander Oral History Interview (2005),Bill Alexander,Barbara Bogart,2005,2005,"Evanston, WY",,,Wyoming economy;Boom and bust cycle;Energy industry,Wyoming economy,Boom and bust cycle,Energy industry,audio-cassette,audio,Audio-cassette,,,,2005.001.042,Uinta County Museum,"1020 Front St., Evanston, WY 82930",(307) 789-8248,museum@nglconnection.net,http://www.uintacounty.com/28/Uinta-County-Museum,"""Boom and Bust in the Overthrust"" Project"
wyomingoralhistory044,Mary Lou Bruce Oral History Interview (2005),Mary Lou Bruce,Barbara Bogart,2005,2005,"Evanston, WY",,,Wyoming economy;Boom and bust cycle;Energy industry,Wyoming economy,Boom and bust cycle,Energy industry,audio-cassette,audio,Audio-cassette,,,,2005.001.043,Uinta County Museum,"1020 Front St., Evanston, WY 82930",(307) 789-8248,museum@nglconnection.net,http://www.uintacounty.com/28/Uinta-County-Museum,"""Boom and Bust in the Overthrust"" Project"
wyomingoralhistory045,Andy Bailey Oral History Interview (2005),Andy Bailey,Barbara Bogart,2005,2005,"Evanston, WY",,,Wyoming economy;Boom and bust cycle;Energy industry,Wyoming economy,Boom and bust cycle,Energy industry,audio-cassette,audio,Audio-cassette,,,,2005.001.044,Uinta County Museum,"1020 Front St., Evanston, WY 82930",(307) 789-8248,museum@nglconnection.net,http://www.uintacounty.com/28/Uinta-County-Museum,"""Boom and Bust in the Overthrust"" Project"
wyomingoralhistory046,Charles Maggard Oral History Interview (2005),Charles Maggard,Barbara Bogart,2005,2005,"Evanston, WY",,,"Uinta County, Wyoming;History;","Uinta County, Wyoming",History,,audio-cassette,audio,Audio-cassette,,,,2005.029.001,Uinta County Museum,"1020 Front St., Evanston, WY 82930",(307) 789-8248,museum@nglconnection.net,http://www.uintacounty.com/28/Uinta-County-Museum,"""Uinta County Ranching Project"""
wyomingoralhistory047,Albert and Peg Bradbury Oral History Interview (2005),Albert and Peg Bradbury,Barbara Bogart,2005,2005,"Evanston, WY",,,"Evanston, Wyoming;History;","Evanston, Wyoming",History,,audio-cassette,audio,Audio-cassette,,,,2005.030.001,Uinta County Museum,"1020 Front St., Evanston, WY 82930",(307) 789-8248,museum@nglconnection.net,http://www.uintacounty.com/28/Uinta-County-Museum,"""Uinta County Ranching Project"""
wyomingoralhistory048,Paul Skyles Oral History Interview (2005),Paul Skyles,Barbara Bogart,2005,2005,"Evanston, WY",1930s-1940s,,Great Depression;Childhood;World War II,Great Depression,Childhood,World War II,audio-cassette,audio,Audio-cassette,,,,2005.032.001,Uinta County Museum,"1020 Front St., Evanston, WY 82930",(307) 789-8248,museum@nglconnection.net,http://www.uintacounty.com/28/Uinta-County-Museum,"""Uinta County Ranching Project"""
wyomingoralhistory049,Thelma Davis Oral History Interview (2005),Thelma Davis,Barbara Bogart,2005,2005,"Evanston, WY",,,"Evanston, Wyoming;;","Evanston, Wyoming",,,audio-cassette,audio,Audio-cassette,,,,2005.045.001,Uinta County Museum,"1020 Front St., Evanston, WY 82930",(307) 789-8248,museum@nglconnection.net,http://www.uintacounty.com/28/Uinta-County-Museum,"""Uinta County Ranching Project"""
wyomingoralhistory050,Ruth Trout Oral History Interview (2005),Ruth Trout,Barbara Bogart,2005,2005,"Evanston, WY",,,"Evanston, Wyoming;;","Evanston, Wyoming",,,audio-cassette,audio,Audio-cassette,,,,2005.046.001,Uinta County Museum,"1020 Front St., Evanston, WY 82930",(307) 789-8248,museum@nglconnection.net,http://www.uintacounty.com/28/Uinta-County-Museum,"""Uinta County Ranching Project"""
wyomingoralhistory051,Charles Maggard Oral History Interview (2005),Charles Maggard,Barbara Bogart,2005,2005,"Evanston, WY",,,Historic houses;;,Historic houses,,,audio-cassette,audio,Audio-cassette,,,,2005.066.001,Uinta County Museum,"1020 Front St., Evanston, WY 82930",(307) 789-8248,museum@nglconnection.net,http://www.uintacounty.com/28/Uinta-County-Museum,"""Uinta County Ranching Project"""
wyomingoralhistory052,Charles Maggard Oral History Interview (2005),Charles Maggard,Barbara Bogart,2005,2005,"Evanston, WY",,,"Evanston, Wyoming;;","Evanston, Wyoming",,,audio-cassette,audio,Audio-cassette,,,,2005.066.002,Uinta County Museum,"1020 Front St., Evanston, WY 82930",(307) 789-8248,museum@nglconnection.net,http://www.uintacounty.com/28/Uinta-County-Museum,"""Uinta County Ranching Project"""
wyomingoralhistory053,Archie Willmore Oral History Interview (2005),Archie Willmore,Barbara Bogart,2005,2005,"Evanston, WY",,,;;,,,,audio-cassette,audio,Audio-cassette,,,,2005.067.001,Uinta County Museum,"1020 Front St., Evanston, WY 82930",(307) 789-8248,museum@nglconnection.net,http://www.uintacounty.com/28/Uinta-County-Museum,"""Uinta County Ranching Project"""
wyomingoralhistory054,Jesse and Kay ? Oral History Interview (2006),Jesse and Kay ?,Barbara Bogart,2006,2006,"Spring Valley, WY",,,"Energy industry;Spring Valley, WY;",Energy industry,"Spring Valley, WY",,audio-cassette,audio,Audio-cassette,,,,2006.002.001,Uinta County Museum,"1020 Front St., Evanston, WY 82930",(307) 789-8248,museum@nglconnection.net,http://www.uintacounty.com/28/Uinta-County-Museum,"""Uinta County Ranching Project"""
wyomingoralhistory055,Gene Martin Oral History Interview (2006),Gene Martin,Barbara Bogart,2006,2006,"Evanston, WY",,,"Evanston, Wyoming;;","Evanston, Wyoming",,,audio-cassette,audio,Audio-cassette,,,,2006.027.001,Uinta County Museum,"1020 Front St., Evanston, WY 82930",(307) 789-8248,museum@nglconnection.net,http://www.uintacounty.com/28/Uinta-County-Museum,"""Uinta County Ranching Project"""
wyomingoralhistory056,Gary Rollins Oral History Interview (2007),Gary Rollins,Barbara Bogart,2007,2007,"Bridger Valley, WY",,,"Ranching;Bridger Valley, WY;",Ranching,"Bridger Valley, WY",,audio-cassette,audio,Audio-cassette,,,,2007.014.001,Uinta County Museum,"1020 Front St., Evanston, WY 82930",(307) 789-8248,museum@nglconnection.net,http://www.uintacounty.com/28/Uinta-County-Museum,"""Uinta County Ranching Project"""
wyomingoralhistory057,Richard Hamilton Oral History Interview (2007),Richard Hamilton,Barbara Bogart,2007,2007,"Evanston, WY",,,Ranching;;,Ranching,,,audio-cassette,audio,Audio-cassette,,,,2007.015.001,Uinta County Museum,"1020 Front St., Evanston, WY 82930",(307) 789-8248,museum@nglconnection.net,http://www.uintacounty.com/28/Uinta-County-Museum,"""Uinta County Ranching Project"""
wyomingoralhistory058,Joe; Marian; Jack; Mike; Carl Hickey Oral History Interview (2007),Joe; Marian; Jack; Mike; Carl Hickey,Barbara Bogart,2007,2007,"Evanston, WY",,,Ranching;;,Ranching,,,audio-cassette,audio,Audio-cassette,,,,2007.016.001,Uinta County Museum,"1020 Front St., Evanston, WY 82930",(307) 789-8248,museum@nglconnection.net,http://www.uintacounty.com/28/Uinta-County-Museum,"""Uinta County Ranching Project"""
wyomingoralhistory059,Crompton Family Oral History Interview (2007),Crompton Family,Barbara Bogart,2007,2007,"Evanston, WY",,,Ranching;;,Ranching,,,audio-cassette,audio,Audio-cassette,,,,2007.018.001,Uinta County Museum,"1020 Front St., Evanston, WY 82930",(307) 789-8248,museum@nglconnection.net,http://www.uintacounty.com/28/Uinta-County-Museum,"""Uinta County Ranching Project"""
wyomingoralhistory060,Becky and Joe Micheli Oral History Interview (2007),Becky and Joe Micheli,Barbara Bogart,2007,2007,"Bridger Valley, WY",,,Ranching;;,Ranching,,,audio-cassette,audio,Audio-cassette,,,,2007.022.001,Uinta County Museum,"1020 Front St., Evanston, WY 82930",(307) 789-8248,museum@nglconnection.net,http://www.uintacounty.com/28/Uinta-County-Museum,"""Uinta County Ranching Project"""
